match_id,competition,team,sub_minute,score_diff,is_home,time_remaining,sub_sequence,game_phase,position_name,position_group,team_xg_prev15,opp_xg_prev15,xg_diff_prev15,shots_prev15,passes_prev15,pressures_prev15,team_xg_next15,opp_xg_next15,xg_diff_next15,impact_score,impact_label,game_phase_enc,position_group_enc
3895286,Bundesliga 2023/2024,Bayer Leverkusen,72,-1,1,18,2,61-75,Left Center Back,DF,0.3242,0.0301,0.2941,6,123,13,0.7091,0.0896,0.6195,0.3254,Positive,2,2
3895286,Bundesliga 2023/2024,Hoffenheim,77,1,0,13,4,76-90+,Right Center Forward,FW,0.0301,0.6668,-0.6367,1,23,23,0.0896,1.1637,-1.0741,-0.4374,Negative,3,0
3895286,Bundesliga 2023/2024,Bayer Leverkusen,85,-1,1,5,3,76-90+,Right Center Back,DF,0.7148,0.0896,0.6252,9,86,18,0.9546,0.0,0.9546,0.3294,Positive,3,2
3895286,Bundesliga 2023/2024,Bayer Leverkusen,85,-1,1,5,4,76-90+,Right Back,DF,0.7148,0.0896,0.6252,9,86,18,0.9546,0.0,0.9546,0.3294,Positive,3,2
3895302,Bundesliga 2023/2024,Bayer Leverkusen,45,1,1,45,1,31-60,Left Attacking Midfield,MF,0.2371,0.0,0.2371,3,101,40,0.0557,0.4241,-0.3684,-0.6055,Negative,1,1
3895302,Bundesliga 2023/2024,Bayer Leverkusen,61,2,1,29,2,61-75,Right Wing Back,FW,0.0557,0.0484,0.0073,2,128,47,0.401,0.0825,0.3185,0.3112,Positive,2,0
3895302,Bundesliga 2023/2024,Bayer Leverkusen,61,2,1,29,3,61-75,Center Forward,FW,0.0557,0.0484,0.0073,2,128,47,0.401,0.0825,0.3185,0.3112,Positive,2,0
3895302,Bundesliga 2023/2024,Werder Bremen,68,-3,0,22,1,61-75,Left Wing Back,FW,0.0,0.1739,-0.1739,0,74,41,0.0825,0.7895,-0.707,-0.5331,Negative,2,0
3895302,Bundesliga 2023/2024,Werder Bremen,68,-3,0,22,2,61-75,Right Center Forward,FW,0.0,0.1739,-0.1739,0,74,41,0.0825,0.7895,-0.707,-0.5331,Negative,2,0
3895302,Bundesliga 2023/2024,Bayer Leverkusen,75,3,1,15,4,61-75,Left Wing Back,FW,0.401,0.0825,0.3185,4,114,28,0.7968,0.0,0.7968,0.4783,Positive,2,0
3895302,Bundesliga 2023/2024,Werder Bremen,76,-3,0,14,3,76-90+,Right Center Midfield,MF,0.0825,0.401,-0.3185,2,62,35,0.0,0.7968,-0.7968,-0.4783,Negative,3,1
