match_id,competition,team,sub_minute,score_diff,is_home,time_remaining,sub_sequence,game_phase,position_name,position_group,team_xg_prev15,opp_xg_prev15,xg_diff_prev15,shots_prev15,passes_prev15,pressures_prev15,team_xg_next15,opp_xg_next15,xg_diff_next15,impact_score,impact_label,game_phase_enc,position_group_enc,competition_enc,abs_score_diff,is_trailing,is_leading,late_sub,very_late_sub,xg_per_shot_prev15,pressure_per_pass_prev15,passes_per_min_prev15,pressures_per_min_prev15,shots_per_min_prev15,outgoing_player,replacement_player,player_passes_prev15,pass_success_rate_drop,player_pressures_prev15,pressure_activity_drop,player_actions_prev15,action_rate_drop,player_involvement_share_prev15,FW_passes_prev15,FW_pressures_prev15,FW_shots_prev15,FW_xg_prev15,MF_passes_prev15,MF_pressures_prev15,MF_shots_prev15,MF_xg_prev15,DF_passes_prev15,DF_pressures_prev15,DF_shots_prev15,DF_xg_prev15,GK_passes_prev15,GK_pressures_prev15,GK_shots_prev15,GK_xg_prev15,FW_passes_next15,FW_pressures_next15,FW_shots_next15,FW_xg_next15,MF_passes_next15,MF_pressures_next15,MF_shots_next15,MF_xg_next15,DF_passes_next15,DF_pressures_next15,DF_shots_next15,DF_xg_next15,GK_passes_next15,GK_pressures_next15,GK_shots_next15,GK_xg_next15
3895107,Bundesliga 2023/2024,FC Köln,61,-2,0,29,1,61-75,Left Center Forward,FW,0.7356,0.4887,0.2469,2,88,39,0.1177,0.7018,-0.5841,-0.831,Negative,2,0,0,2,1,0,1,0,0.3678,0.4431818181818182,5.866666666666666,2.6,0.13333333333333333,Faride Alidou,Max Finkgräfe,3,0.0,9,-0.1333333333333333,19,0.19999999999999996,0.06168831168831169,6,15,0,0.0,27,16,2,0.7356,48,8,0,0.0,7,0,0,0.0,14,7,0,0.0,22,6,0,0.0,30,6,1,0.1177,6,0,0,0.0
3895107,Bundesliga 2023/2024,Bayer Leverkusen,70,3,1,20,1,61-75,Left Center Back,DF,0.715,0.0,0.715,3,118,29,0.5231,0.1235,0.3996,-0.3154,Negative,2,2,0,3,0,1,1,0,0.2383333333333333,0.2457627118644068,7.866666666666666,1.9333333333333333,0.2,Edmond Fayçal Tapsoba,Piero Martín Hincapié Reyna,17,-0.003676470588235281,1,0.06666666666666667,46,0.19999999999999973,0.11764705882352941,22,10,2,0.6604,46,16,1,0.0547,46,3,0,0.0,4,0,0,0.0,18,5,2,0.4586,41,21,2,0.0644,40,2,0,0.0,7,0,0,0.0
3895107,Bundesliga 2023/2024,Bayer Leverkusen,70,3,1,20,2,61-75,Left Attacking Midfield,MF,0.715,0.0,0.715,3,118,29,0.5231,0.1235,0.3996,-0.3154,Negative,2,1,0,3,0,1,1,0,0.2383333333333333,0.2457627118644068,7.866666666666666,1.9333333333333333,0.2,Florian Wirtz,Amine Adli,7,0.1785714285714286,7,0.06666666666666665,33,0.733333333333333,0.08439897698209718,22,10,2,0.6604,46,16,1,0.0547,46,3,0,0.0,4,0,0,0.0,18,5,2,0.4586,41,21,2,0.0644,40,2,0,0.0,7,0,0,0.0
3895107,Bundesliga 2023/2024,FC Köln,74,-3,0,16,2,61-75,Left Defensive Midfield,MF,0.1177,0.7564,-0.6387,1,63,17,0.1162,0.4816,-0.3654,0.2733,Positive,2,1,0,3,1,0,1,0,0.1177,0.2698412698412698,4.2,1.1333333333333333,0.06666666666666667,Denis Huseinbašić,Mathias Flaga Olesen,12,0.08333333333333337,1,0.4,35,1.1333333333333333,0.16279069767441862,11,7,0,0.0,18,5,0,0.0,28,5,1,0.1177,6,0,0,0.0,13,8,1,0.1103,23,6,1,0.0059,29,4,0,0.0,6,0,0,0.0
3895107,Bundesliga 2023/2024,FC Köln,74,-3,0,16,3,61-75,Right Defensive Midfield,MF,0.1177,0.7564,-0.6387,1,63,17,0.1162,0.4816,-0.3654,0.2733,Positive,2,1,0,3,1,0,1,0,0.1177,0.2698412698412698,4.2,1.1333333333333333,0.06666666666666667,Eric Martel,Steffen Tigges,3,0.33333333333333337,1,0.06666666666666667,11,1.5333333333333332,0.05116279069767442,11,7,0,0.0,18,5,0,0.0,28,5,1,0.1177,6,0,0,0.0,13,8,1,0.1103,23,6,1,0.0059,29,4,0,0.0,6,0,0,0.0
3895107,Bundesliga 2023/2024,Bayer Leverkusen,79,3,1,11,3,76-90+,Center Forward,FW,1.1336,0.1235,1.0101,4,81,35,0.075,0.1103,-0.0353,-1.0454,Negative,3,0,0,3,0,1,1,1,0.2834,0.43209876543209874,5.4,2.3333333333333335,0.26666666666666666,Victor Okoh Boniface,Adam Hložek,2,1.0,3,-0.13333333333333336,21,0.20000000000000018,0.07167235494880546,13,12,3,1.0922,32,21,1,0.0414,30,2,0,0.0,6,0,0,0.0,22,8,1,0.0268,49,15,2,0.0481,49,2,0,0.0,7,0,0,0.0
3895107,Bundesliga 2023/2024,Bayer Leverkusen,79,3,1,11,4,76-90+,Right Wing Back,FW,1.1336,0.1235,1.0101,4,81,35,0.075,0.1103,-0.0353,-1.0454,Negative,3,0,0,3,0,1,1,1,0.2834,0.43209876543209874,5.4,2.3333333333333335,0.26666666666666666,Jeremie Frimpong,Nathan Tella,3,-0.11111111111111116,6,-0.2,19,0.6000000000000001,0.06484641638225255,13,12,3,1.0922,32,21,1,0.0414,30,2,0,0.0,6,0,0,0.0,22,8,1,0.0268,49,15,2,0.0481,49,2,0,0.0,7,0,0,0.0
3895340,Bundesliga 2023/2024,Bochum,19,0,1,71,1,0-30,Right Midfield,MF,0.1239,0.0719,0.052,1,61,13,0.0,0.0971,-0.0971,-0.1491,Negative,0,1,0,0,0,0,0,0,0.1239,0.21311475409836064,4.066666666666666,0.8666666666666667,0.06666666666666667,Takuma Asano,Tim Oermann,4,-0.5,2,0.11666666666666667,23,-0.7833333333333334,0.11274509803921569,8,5,1,0.1239,20,2,0,0.0,27,6,0,0.0,6,0,0,0.0,10,6,0,0.0,9,6,0,0.0,5,3,0,0.0,8,0,0,0.0
3895340,Bundesliga 2023/2024,Bochum,45,-1,1,45,2,31-60,Left Center Back,DF,0.0,0.1869,-0.1869,0,41,20,0.0,1.1412,-1.1412,-0.9543,Negative,1,2,0,1,1,0,0,0,0.0,0.4878048780487805,2.7333333333333334,1.3333333333333333,0.0,Bernardo Fernandes da Silva Junior,Erhan Mašović,3,-1.0,4,-0.2,14,-0.5333333333333333,0.09090909090909091,14,7,0,0.0,11,5,0,0.0,7,8,0,0.0,9,0,0,0.0,8,8,0,0.0,36,8,0,0.0,19,8,0,0.0,7,0,0,0.0
3895340,Bundesliga 2023/2024,Bochum,60,-2,1,30,3,31-60,Center Defensive Midfield,MF,0.0,1.1412,-1.1412,0,70,24,0.1902,0.5958,-0.4056,0.7356,Positive,1,1,0,2,1,0,1,0,0.0,0.34285714285714286,4.666666666666667,1.6,0.0,Anthony Losilla,Matúš Bero,7,0.1428571428571429,3,-0.06666666666666668,18,-0.3999999999999999,0.06766917293233082,8,8,0,0.0,36,8,0,0.0,19,8,0,0.0,7,0,0,0.0,13,8,0,0.0,24,4,2,0.1902,12,4,0,0.0,8,0,0,0.0
3895340,Bundesliga 2023/2024,Bochum,60,-2,1,30,4,31-60,Center Forward,FW,0.0,1.1412,-1.1412,0,70,24,0.1902,0.5958,-0.4056,0.7356,Positive,1,0,0,2,1,0,1,0,0.0,0.34285714285714286,4.666666666666667,1.6,0.0,Philipp Hofmann,Lukas Daschner,2,-0.5555555555555556,2,0.13333333333333333,8,1.2666666666666666,0.03007518796992481,8,8,0,0.0,36,8,0,0.0,19,8,0,0.0,7,0,0,0.0,13,8,0,0.0,24,4,2,0.1902,12,4,0,0.0,8,0,0,0.0
3895340,Bundesliga 2023/2024,Bayer Leverkusen,63,2,0,27,1,61-75,Right Center Back,DF,0.3577,0.0387,0.319,4,89,18,1.027,0.1516,0.8754,0.5564,Positive,2,2,0,2,0,1,1,0,0.089425,0.20224719101123595,5.933333333333334,1.2,0.26666666666666666,Odilon Kossonou,Jonas Hofmann,14,0.0,0,0.0,42,0.8666666666666667,0.12804878048780488,22,13,3,0.3304,30,3,1,0.0273,33,2,0,0.0,4,0,0,0.0,32,13,5,0.7637,28,1,2,0.1165,38,1,1,0.1469,3,0,0,0.0
3895340,Bundesliga 2023/2024,Bayer Leverkusen,68,2,0,22,2,61-75,Left Wing,FW,0.3744,0.0387,0.3357,4,109,13,1.3964,0.1516,1.2448,0.9091,Positive,2,0,0,2,0,1,1,0,0.0936,0.11926605504587157,7.266666666666667,0.8666666666666667,0.26666666666666666,Victor Okoh Boniface,Borja Iglesias Quintas,3,0.0,3,-0.06666666666666668,25,-0.5333333333333334,0.06596306068601583,24,10,3,0.3492,37,2,1,0.0251,46,1,0,0.0,2,0,0,0.0,31,14,5,1.1582,17,3,1,0.0914,22,2,1,0.1469,3,0,0,0.0
3895340,Bundesliga 2023/2024,Bayer Leverkusen,68,2,0,22,3,61-75,Center Forward,FW,0.3744,0.0387,0.3357,4,109,13,1.3964,0.1516,1.2448,0.9091,Positive,2,0,0,2,0,1,1,0,0.0936,0.11926605504587157,7.266666666666667,0.8666666666666667,0.26666666666666666,Patrik Schick,Amine Adli,0,1.0,2,0.0,17,1.0666666666666669,0.044854881266490766,24,10,3,0.3492,37,2,1,0.0251,46,1,0,0.0,2,0,0,0.0,31,14,5,1.1582,17,3,1,0.0914,22,2,1,0.1469,3,0,0,0.0
3895340,Bundesliga 2023/2024,Bayer Leverkusen,78,3,0,12,4,76-90+,Left Defensive Midfield,MF,1.027,0.1516,0.8754,8,101,15,1.7492,0.0,1.7492,0.8738,Positive,3,1,0,3,0,1,1,1,0.128375,0.1485148514851485,6.733333333333333,1.0,0.5333333333333333,Granit Xhaka,Gustavo Adolfo Puerta Molano,17,-0.06617647058823528,0,0.0,50,-0.2666666666666666,0.141643059490085,32,13,5,0.7637,28,1,2,0.1165,38,1,1,0.1469,3,0,0,0.0,40,7,4,1.6589,23,4,1,0.0207,35,2,2,0.0696,4,0,0,0.0
3895340,Bundesliga 2023/2024,Bayer Leverkusen,79,3,0,11,5,76-90+,Right Wing Back,FW,1.0019,0.1516,0.8503,7,99,15,1.7775,0.0,1.7775,0.9272,Positive,3,0,0,3,0,1,1,1,0.14312857142857144,0.15151515151515152,6.6,1.0,0.4666666666666667,Nathan Tella,Alejandro Grimaldo García,7,0.0,0,0.13333333333333333,22,0.5333333333333334,0.06340057636887608,32,13,5,0.7637,27,1,1,0.0914,37,1,1,0.1469,3,0,0,0.0,40,8,5,1.6872,24,4,1,0.0207,35,2,2,0.0696,4,0,0,0.0
3895286,Bundesliga 2023/2024,Hoffenheim,56,1,0,34,1,31-60,Right Center Midfield,MF,0.0826,0.6294,-0.5468,2,54,30,0.0301,0.3242,-0.2941,0.2527,Positive,1,1,0,1,0,1,0,0,0.0413,0.5555555555555556,3.6,2.0,0.13333333333333333,Andrej Kramarić,Grischa Prömel,4,0.08333333333333337,1,0.0,15,0.6000000000000001,0.06787330316742081,21,13,2,0.0826,17,5,0,0.0,10,12,0,0.0,6,0,0,0.0,9,9,0,0.0,9,10,1,0.0301,9,8,0,0.0,7,0,0,0.0
